MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367153110,2022-03-31T00:00:01,27.83528,-97.38628,0,198.6,511,EMMA D,,WDD5060,31,12,19,6,,52,A
367394940,2022-03-31T00:00:01,28.41571,-80.62341,0,270.1,175,ESCAMBIA,IMO9190951,WDE7575,31,0,27,15,1.6,31,A
367721050,2022-03-31T00:00:02,41.76364,-90.26025,0,360,511,WANDA ISABELLE,IMO8635411,WDI6672,31,0,17,6,,31,A
368188450,2022-03-31T00:00:06,26.28411,-80.08424,0,360,511,NALADHU,IMO0000000,,37,,16,6,,,B
316040291,2022-03-31T00:00:05,48.68249,-123.40315,0,163.7,313,SONIC,IMO0000000,,37,,9,3,,,B
368142750,2022-03-31T00:00:04,29.92887,-89.9741,0.1,336.6,285,NYQUIST,,WDL5618,31,0,21,9,0,31,A
338570000,2022-03-31T00:00:09,30.70984,-81.4144,3.1,263.9,230,BAYPORT,IMO8993784,WCZ4240,90,3,90,16,,33,A
338124935,2022-03-31T00:00:14,26.83573,-80.05654,0,293.3,62,TRUE JOY,,,37,0,29,7,,37,A
367793110,2022-03-31T00:00:24,29.14931,-80.97466,0.1,360,511,FISH HOUND,IMO0000000,,30,,12,0,,,B
338230503,2022-03-31T00:00:26,18.07929,-65.79638,0,127.4,511,DAGNY T,IMO0000000,,36,,12,6,,,B
338143353,2022-03-31T00:00:00,26.70206,-80.04516,0.1,265.3,11,MISS TRACY,,,37,0,35,7,2.1,37,A
564702000,2022-03-31T00:00:01,18.24838,-64.61832,10.4,244.6,240,EPIC CURACAO,IMO9698288,9V2515,80,0,95,15,5.5,80,A
368040690,2022-03-31T00:00:03,47.80902,-122.3915,2,172,511,KING'S LEGEND,IMO0000000,WDK2976,37,,16,5,,,B
316028723,2022-03-31T00:00:02,48.67973,-123.38788,25,176.7,511,TYMAC SPRAY,,,50,,11,,,,B
368207390,2022-03-31T00:00:12,47.61675,-122.51276,0,360,511,GADABOUT,IMO0000000,WDM4545,37,,11,5,,,B
